Metal expérimental Indus,Oestre,An Zero,2018,https://soundcloud.com/oestre,https://oestre.bandcamp.com/,https://www.youtube.com/channel/UCUddwtecm4fRYcatcXI-Lxg,,https://youtu.be/uMDIaR2b46U,,https://www.facebook.com/Oestrefr,,Limousin (Limoges),,https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-9/24862327_1497411770294179_2462455273541336672_n.jpg?_nc_cat=109&_nc_ht=scontent-cdt1-1.xx&oh=d5e5496e1b7e390f8acc3f59646450b4&oe=5CE7CBBD,https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-9/24862327_1497411770294179_2462455273541336672_n.jpg?_nc_cat=109&_nc_ht=scontent-cdt1-1.xx&oh=d5e5496e1b7e390f8acc3f59646450b4&oe=5CE7CBBD
Neo Metal,Dusk Of Delusion,(F)unfair,2018,http://www.fantaizic.fr/index.html,https://duskofdelusion.bandcamp.com/releases,https://www.youtube.com/channel/UC-ktc1XzCRXlAquGsBFr6nQ,Fantaizic,https://youtu.be/LTJIYttxBZY,https://youtu.be/oSOxdgNKZ0s,https://www.facebook.com/Duskofdelusion,booking@fantaizic.fr,Lorraine (Nancy),,https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-9/26230434_522573418122165_1041496035449290631_n.jpg?_nc_cat=102&_nc_ht=scontent-cdt1-1.xx&oh=47480662477dd9a9aafd14a684c5feaf&oe=5CEB39A2,https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-9/26230434_522573418122165_1041496035449290631_n.jpg?_nc_cat=102&_nc_ht=scontent-cdt1-1.xx&oh=47480662477dd9a9aafd14a684c5feaf&oe=5CEB39A2
Metal Indus Experimental,Moon Prototype,Love ★ Hate,2018,,https://moonprototype.bandcamp.com,https://www.youtube.com/channel/UCYM7oEPVrL_iK89FFrHnfuA,,https://youtu.be/neND497Cb70,,https://moon-prototype.the-shop.co/fr/,moonprototype@gmail.com,Bretagne,,https://cdn.the-shop.co/71380-large_default/moon-prototype-love-hate-poster.jpg,https://cdn.the-shop.co/71380-large_default/moon-prototype-love-hate-poster.jpg
Metal Fusion,Lofofora,Simple Appareil,2018,http://www.twitter.com/lofofora_,http://www.lofofora.com,https://www.youtube.com/user/lofoforaofficiel,At(h)ome,https://www.youtube.com/watch?v=z6Q5JHGaU5A&feature=youtu.be,https://youtu.be/km5ta8OdxjA,https://www.facebook.com/pg/Lofofora/about/?ref=page_internal,manager: phil.baseprod@wanadoo.fr,Ile de France (Paris),,https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-9/28576178_10156156295683279_1940000579846870625_n.jpg?_nc_cat=106&_nc_ht=scontent-cdt1-1.xx&oh=e454cd8a7048cd857704be84fbe49bb6&oe=5CE3EA74,https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-9/28576178_10156156295683279_1940000579846870625_n.jpg?_nc_cat=106&_nc_ht=scontent-cdt1-1.xx&oh=e454cd8a7048cd857704be84fbe49bb6&oe=5CE3EA74
electro Goth / Darkwave,Radium Valley,Lanscape,2018,,https://radiumvalley.bandcamp.com/album/mutagenesis-01,https://www.youtube.com/channel/UC2FbJbIuxdsW9vywpUgaTNQ,Dooweet et Season Of Mist,https://youtu.be/N2u0u66MbVI,https://youtu.be/_FZuoNObddE,https://www.facebook.com/pg/radiumvalleyofficial/about/?ref=page_internal,radiumvalley@gmail.com,Limousin (Limoges),,https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-9/27540307_1017503248405846_301316193163240756_n.jpg?_nc_cat=101&_nc_ht=scontent-cdt1-1.xx&oh=3198b8eb812c386ce85e07c5a0548465&oe=5CFEF323,https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-9/27540307_1017503248405846_301316193163240756_n.jpg?_nc_cat=101&_nc_ht=scontent-cdt1-1.xx&oh=3198b8eb812c386ce85e07c5a0548465&oe=5CFEF323
Metal Alternatif,Ways,Aftermath,2018,http://bit.ly/2pcq3re,https://waysofficiel.bandcamp.com/releases,https://www.youtube.com/channel/UC4-c9Yfoh4TkHI7YW5oSy_g,,https://www.youtube.com/watch?v=GY9nC6tISwY,https://youtu.be/Sn_oeD5OFaA,https://www.facebook.com/pg/thisisways/about/?ref=page_internal,waysofficiel@gmail.com,Ile de France (Paris),,https://scontent-cdt1-1.xx.fbcdn.net/v/t31.0-8/28335917_1411592145653431_6470160751890923844_o.jpg?_nc_cat=106&_nc_ht=scontent-cdt1-1.xx&oh=18a5d056f5e5e26f7e8e0f93143b010a&oe=5CE275C8,https://scontent-cdt1-1.xx.fbcdn.net/v/t31.0-8/28335917_1411592145653431_6470160751890923844_o.jpg?_nc_cat=106&_nc_ht=scontent-cdt1-1.xx&oh=18a5d056f5e5e26f7e8e0f93143b010a&oe=5CE275C8
Electro Metal,Kamera Obscura,The Final Cut,2018,,,https://www.youtube.com/channel/UClTrFgft1RSsJgg1YUBuDKA,,https://youtu.be/TC3IofFXbSc,https://youtu.be/25FH1duQ_00,http://kameraobscura.info,contact.kameraobscura@gmail.com,Castle - France,,https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-9/23244429_1538015516236839_4880253474826153653_n.jpg?_nc_cat=111&_nc_ht=scontent-cdt1-1.xx&oh=592f77d65941819454119db44f746e90&oe=5CB5EAC1,https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-9/23244429_1538015516236839_4880253474826153653_n.jpg?_nc_cat=111&_nc_ht=scontent-cdt1-1.xx&oh=592f77d65941819454119db44f746e90&oe=5CB5EAC1
Electro Metal,Shaârghot,Break Your Body ,2018,https://soundcloud.com/sha-rghot,http://shaarghot.bigcartel.com,https://www.youtube.com/channel/UCoNxJTk1tc12iN2ADTy7ZdQ,,https://youtu.be/p3l8A_i_pK0,https://youtu.be/8iPD-85zoH4,https://www.facebook.com/shaarghot/,,Ile de france,,https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-9/48084053_1842847012504163_3164487094299000832_n.jpg?_nc_cat=109&_nc_ht=scontent-cdt1-1.xx&oh=51bec2dc63734d536b56a17a905dbe79&oe=5CF97686,https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-9/48084053_1842847012504163_3164487094299000832_n.jpg?_nc_cat=109&_nc_ht=scontent-cdt1-1.xx&oh=51bec2dc63734d536b56a17a905dbe79&oe=5CF97686
Electro Rock Alternatif,Initial Data,Superhero,2018,https://twitter.com/Initial_Data,https://www.initialdatamusic.com,https://www.youtube.com/channel/UCf5RbeJ7rp5QSN4l356HHJQ,,https://youtu.be/-50Bjeu8RC4,https://youtu.be/e2OQa7xf1yQ,https://www.facebook.com/initialdatamusic/,initialdataofficiel@gmail.com,Nouvelle Aquitaine,,https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-9/24176802_910766939073706_6761262759807135640_n.jpg?_nc_cat=111&_nc_ht=scontent-cdt1-1.xx&oh=4da77d0a20e7530d680e9f2ef043bc96&oe=5CB38328,https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-9/24176802_910766939073706_6761262759807135640_n.jpg?_nc_cat=111&_nc_ht=scontent-cdt1-1.xx&oh=4da77d0a20e7530d680e9f2ef043bc96&oe=5CB38328
Metal - Trap - Hip Hop - Rock,Wild Mighty Freaks,Okay (The Blue Freestyle),2018,https://twitter.com/WMFreaks,http://instagram.com/wildmightyfreaks,https://www.youtube.com/channel/UCfytbrC2xNh3NNkTUXb-MVA,Indépendant,https://youtu.be/pmdHjbvHkBc,https://youtu.be/NC_sGD4lIY8,https://www.facebook.com/wildmightyfreaksofficial/,ayite@bemavocorp.com,France,06 78 26 12 04,https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-9/29177120_2078971655677170_6300935448088805376_n.jpg?_nc_cat=110&_nc_ht=scontent-cdt1-1.xx&oh=3a038cf6a65c470f6cc3e220e8682398&oe=5CF81082,https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-9/29177120_2078971655677170_6300935448088805376_n.jpg?_nc_cat=110&_nc_ht=scontent-cdt1-1.xx&oh=3a038cf6a65c470f6cc3e220e8682398&oe=5CF81082
