Death Metal;Prophetic Scourge;Calvary;2018;https://www.deezer.com/en/album/73127562;https://propheticscourge.bandcamp.com/releases;https://www.youtube.com/channel/UCJSUkKUMJIz1MnhgoS8mxGA;Klonosphere / Season of Mist.;https://youtu.be/QQxzLLgXjjc;https://youtu.be/UiXsMEKRu3E;https://www.facebook.com/propheticscourge/;propheticscourge@gmail.com;Languedoc-Roussillon-Midi-Pyrénées;;http://france-metal.fr/wp-content/uploads/2019/03/Prophetic-Scourge-Calvary-1138x1024.jpg;http://france-metal.fr/wp-content/uploads/2019/03/Prophetic-Scourge-Calvary-1138x1024.jpg
Melodic Death Metal;Mind Imperium;Way To Carcosa;2018;http://www.mindimperium.com;https://mindimperium.bandcamp.com;https://www.youtube.com/channel/UCN6yhR32MjURtxLcmaZhAiA;Dark Faery Records;https://youtu.be/RcOg_rjwgmE;;https://www.facebook.com/MindImperiumMetal/;contact@mindimperium.com;Lyon;664450510;http://france-metal.fr/wp-content/uploads/2019/03/Mind-Imperium-Way-To-Carcosa-1024x1024.jpg;http://france-metal.fr/wp-content/uploads/2019/03/Mind-Imperium-Way-To-Carcosa-1024x1024.jpg
Death Metal;Chabtan;Nine Levels ;2018;https://open.spotify.com/album/5SSZIXR2yKBWvIBGI5W1MS;https://darktunes.bandcamp.com/album/nine-levels;https://www.youtube.com/channel/UCzRzt1Vj_VWjpyg2X-vO49g;darkTunes Music Group;https://youtu.be/AgDlZmbFE10;https://youtu.be/s13aQJXljaw;https://www.facebook.com/officialchabtan/;chabtan@hotmail.fr;Paris;;http://france-metal.fr/wp-content/uploads/2019/03/Chabtan-Nine-Levels-1024x1024.jpg;http://france-metal.fr/wp-content/uploads/2019/03/Chabtan-Nine-Levels-1024x1024.jpg
Death Metal;Freitot;Freitot;2018;https://www.deezer.com/fr/album/63075802;;https://www.youtube.com/channel/UC103tiCal_uOftW_ob0aYpw;label Mystick;https://youtu.be/fEwuDS-pOLE;https://youtu.be/_vm1YDj1hhc;https://www.facebook.com/freitot/;;Paris - Alès - Amiens;;http://france-metal.fr/wp-content/uploads/2019/03/freitot-1024x1024.jpg;http://france-metal.fr/wp-content/uploads/2019/03/freitot-1024x1024.jpg
Death Metal ;Death Decline;The Thousand Faces Of Lies;2018;http://deathdecline.bandcamp.com;;https://www.youtube.com/user/DeathDecline;M & O Music (Label);https://youtu.be/vL9hCvvJEgY;https://youtu.be/8LR81JOnETg;https://www.facebook.com/deathdecline/;deathdecline@hotmail.com;Dijon;663378449;http://france-metal.fr/wp-content/uploads/2019/03/Death-Decline-The-Thousand-Faces-Of-Lies-1036x1024.jpg;http://france-metal.fr/wp-content/uploads/2019/03/Death-Decline-The-Thousand-Faces-Of-Lies-1036x1024.jpg
Death Metal;Sinsaneum;Repulsion for Humanity;2018;http://www.sinsaenum.com/;https://sinsaenum.bandcamp.com/;https://www.youtube.com/channel/UC1S4aU1bumEbh5aDtRGnBSw;Peccatum Records - Ear Music;https://youtu.be/kz5gKIAMbCY;;https://www.facebook.com/Sinsaenum/;;;;http://france-metal.fr/wp-content/uploads/2019/03/Sinsaneum-Repulsion-for-Humanity-1024x1024.jpg;http://france-metal.fr/wp-content/uploads/2019/03/Sinsaneum-Repulsion-for-Humanity-1024x1024.jpg
Progressive Death Metal;Exocrine;Molten Giant;2018;https://uniqueleaderrecords.bandcamp.com/album/molten-giant;https://uniqueleaderrecords.bandcamp.com/album/molten-giant;https://www.youtube.com/channel/UCuXR0iHeTI9o659V1EuCjJQ;Unique leader records;https://youtu.be/60o535CJYfM;https://youtu.be/_DaVdze01E4;https://www.facebook.com/Exocrine/;;Bordeaux;;http://france-metal.fr/wp-content/uploads/2019/03/Exocrine-Molten-Giant-1024x1024.jpg;http://france-metal.fr/wp-content/uploads/2019/03/Exocrine-Molten-Giant-1024x1024.jpg
Death Metal;Grilled Flesh Party;So Pleased to Meat You!;2018;https://grilledfleshparty.bandcamp.com/releases;;https://www.youtube.com/channel/UCUsTAY9zNlcjI5VEUL4uPWg;;https://youtu.be/wp3Rp62Akj8;;https://www.facebook.com/grilledfleshparty/;rilledfleshparty@gmail.com;Annemasse/Genève;;http://france-metal.fr/wp-content/uploads/2019/03/Grilled-Flesh-Party-So-Pleased-to-Meat-You-1024x1024.jpg;http://france-metal.fr/wp-content/uploads/2019/03/Grilled-Flesh-Party-So-Pleased-to-Meat-You-1024x1024.jpg
Death Metal;In Purulence;Putrid Valley;2018;https://greatdanerecords.bandcamp.com/album/putrid-valley;https://www.deezer.com/fr/album/67179162;https://www.youtube.com/channel/UCu3hCGQykANSfx_7m16Xpew;;https://youtu.be/LIlMNttZBMM;;https://www.facebook.com/InPurulence/;npurulence@gmail.com;Béthune;;http://france-metal.fr/wp-content/uploads/2019/03/In-Purulence-Putrid-Valley-1031x1024.jpg;http://france-metal.fr/wp-content/uploads/2019/03/In-Purulence-Putrid-Valley-1031x1024.jpg
Death Metal;Heksen;Post-Mortem Psychanalyse Reloaded;2018;https://heksendeathmetal1.bandcamp.com/;https://www.deezer.com/fr/artist/15285915;https://www.youtube.com/channel/UCHbh10iakQ_FdKBt1POAzIw;Great Dane Records;https://youtu.be/j-PRyqL9ctA;;https://www.facebook.com/heksendeathmetal/;heksenbooking@gmail.com;Clermont-Ferrand;;http://france-metal.fr/wp-content/uploads/2019/03/heksen-Post-Mortem-Psychanalyse-Reloaded.jpg;http://france-metal.fr/wp-content/uploads/2019/03/heksen-Post-Mortem-Psychanalyse-Reloaded.jpg
